cantThreads,sec,ns,algorithm
1,0,40954512,cargarMultiplesArchivos
1,0,308707,maximoParalelo
2,0,41221282,cargarMultiplesArchivos
2,0,153698,maximoParalelo
3,0,40893453,cargarMultiplesArchivos
3,0,167307,maximoParalelo
4,0,44319263,cargarMultiplesArchivos
4,0,250852,maximoParalelo
5,0,40049674,cargarMultiplesArchivos
5,0,191525,maximoParalelo
6,0,41638852,cargarMultiplesArchivos
6,0,191399,maximoParalelo
7,0,40770508,cargarMultiplesArchivos
7,0,204662,maximoParalelo
8,0,41321339,cargarMultiplesArchivos
8,0,257626,maximoParalelo
10,0,41605031,cargarMultiplesArchivos
10,0,403429,maximoParalelo
15,0,41430416,cargarMultiplesArchivos
15,0,400472,maximoParalelo
20,0,40775264,cargarMultiplesArchivos
20,0,484592,maximoParalelo
26,0,42170853,cargarMultiplesArchivos
26,0,739299,maximoParalelo
