cantThreads,sec,ns,algorithm
1,0,43840655,cargarMultiplesArchivos
1,0,215793,maximoParalelo
2,0,43926119,cargarMultiplesArchivos
2,0,238541,maximoParalelo
3,0,43280947,cargarMultiplesArchivos
3,0,165028,maximoParalelo
4,0,43715315,cargarMultiplesArchivos
4,0,157610,maximoParalelo
5,0,43641783,cargarMultiplesArchivos
5,0,269479,maximoParalelo
6,0,43808237,cargarMultiplesArchivos
6,0,222922,maximoParalelo
7,0,46042753,cargarMultiplesArchivos
7,0,264879,maximoParalelo
8,0,43638719,cargarMultiplesArchivos
8,0,247567,maximoParalelo
10,0,43879264,cargarMultiplesArchivos
10,0,293633,maximoParalelo
15,0,43525036,cargarMultiplesArchivos
15,0,425829,maximoParalelo
20,0,44166826,cargarMultiplesArchivos
20,0,570949,maximoParalelo
26,0,47666245,cargarMultiplesArchivos
26,0,782666,maximoParalelo
