cantThreads,sec,ns,algorithm
1,0,30882146,cargarMultiplesArchivos
1,0,264828,maximoParalelo
2,0,31706922,cargarMultiplesArchivos
2,0,162462,maximoParalelo
3,0,30858871,cargarMultiplesArchivos
3,0,164283,maximoParalelo
4,0,31000699,cargarMultiplesArchivos
4,0,205665,maximoParalelo
5,0,30967962,cargarMultiplesArchivos
5,0,187935,maximoParalelo
6,0,31402369,cargarMultiplesArchivos
6,0,217027,maximoParalelo
7,0,32274960,cargarMultiplesArchivos
7,0,303810,maximoParalelo
8,0,31536144,cargarMultiplesArchivos
8,0,256295,maximoParalelo
10,0,31412672,cargarMultiplesArchivos
10,0,444373,maximoParalelo
15,0,30918441,cargarMultiplesArchivos
15,0,402391,maximoParalelo
20,0,31092456,cargarMultiplesArchivos
20,0,649005,maximoParalelo
26,1,-969111059,cargarMultiplesArchivos
26,0,748966,maximoParalelo
