cantThreads,sec,ns,algorithm
1,0,121454294,cargarMultiplesArchivos
1,0,403456,maximoParalelo
2,0,118894606,cargarMultiplesArchivos
2,0,256167,maximoParalelo
3,0,118943123,cargarMultiplesArchivos
3,0,233274,maximoParalelo
4,0,119520199,cargarMultiplesArchivos
4,0,229698,maximoParalelo
5,1,-880808313,cargarMultiplesArchivos
5,0,278455,maximoParalelo
6,0,119227425,cargarMultiplesArchivos
6,0,362554,maximoParalelo
7,0,120368055,cargarMultiplesArchivos
7,0,353928,maximoParalelo
8,0,121796892,cargarMultiplesArchivos
8,0,317734,maximoParalelo
10,0,120778259,cargarMultiplesArchivos
10,0,355445,maximoParalelo
15,0,119847378,cargarMultiplesArchivos
15,0,474510,maximoParalelo
20,0,119529830,cargarMultiplesArchivos
20,0,556666,maximoParalelo
26,0,119428646,cargarMultiplesArchivos
26,0,790527,maximoParalelo
