cantThreads,sec,ns,algorithm
1,0,190323282,cargarMultiplesArchivos
1,0,550514,maximoParalelo
2,0,190269519,cargarMultiplesArchivos
2,0,292257,maximoParalelo
3,0,191084013,cargarMultiplesArchivos
3,0,261680,maximoParalelo
4,1,-809682432,cargarMultiplesArchivos
4,0,245259,maximoParalelo
5,0,190115975,cargarMultiplesArchivos
5,0,209802,maximoParalelo
6,0,190139253,cargarMultiplesArchivos
6,0,192996,maximoParalelo
7,0,190978199,cargarMultiplesArchivos
7,0,205779,maximoParalelo
8,0,190102543,cargarMultiplesArchivos
8,0,376143,maximoParalelo
10,0,190972053,cargarMultiplesArchivos
10,0,275918,maximoParalelo
15,1,-808108566,cargarMultiplesArchivos
15,0,505632,maximoParalelo
20,0,190122173,cargarMultiplesArchivos
20,0,342958,maximoParalelo
25,0,191047868,cargarMultiplesArchivos
25,0,425522,maximoParalelo
26,0,190203331,cargarMultiplesArchivos
26,0,448996,maximoParalelo
