cantThreads,sec,ns,algorithm
1,0,16731618,cargarMultiplesArchivos
1,0,195070,maximoParalelo
2,0,9025086,cargarMultiplesArchivos
2,0,100387,maximoParalelo
3,0,8907858,cargarMultiplesArchivos
3,0,93113,maximoParalelo
4,0,7886194,cargarMultiplesArchivos
4,0,340295,maximoParalelo
5,0,8030978,cargarMultiplesArchivos
5,0,131950,maximoParalelo
6,0,8478419,cargarMultiplesArchivos
6,0,150318,maximoParalelo
7,0,8449389,cargarMultiplesArchivos
7,0,216791,maximoParalelo
8,0,8146305,cargarMultiplesArchivos
8,0,199385,maximoParalelo
10,0,8229845,cargarMultiplesArchivos
10,0,258364,maximoParalelo
15,0,8911146,cargarMultiplesArchivos
15,0,349199,maximoParalelo
20,0,8731795,cargarMultiplesArchivos
20,0,463504,maximoParalelo
26,0,9250631,cargarMultiplesArchivos
26,0,606369,maximoParalelo
