cantThreads,sec,ns,algorithm
1,0,52796851,cargarMultiplesArchivos
1,0,243369,maximoParalelo
2,0,20092358,cargarMultiplesArchivos
2,0,179695,maximoParalelo
3,0,14648492,cargarMultiplesArchivos
3,0,121431,maximoParalelo
4,0,11610575,cargarMultiplesArchivos
4,0,120978,maximoParalelo
5,0,12430347,cargarMultiplesArchivos
5,0,122876,maximoParalelo
6,0,13030682,cargarMultiplesArchivos
6,0,113544,maximoParalelo
7,0,11893123,cargarMultiplesArchivos
7,0,114881,maximoParalelo
8,0,11592027,cargarMultiplesArchivos
8,0,150234,maximoParalelo
10,0,11925820,cargarMultiplesArchivos
10,0,184779,maximoParalelo
15,0,20821285,cargarMultiplesArchivos
15,0,413345,maximoParalelo
20,0,25412439,cargarMultiplesArchivos
20,0,568085,maximoParalelo
26,0,25978920,cargarMultiplesArchivos
26,0,713575,maximoParalelo
