cantThreads,sec,ns,algorithm
1,0,54480699,cargarMultiplesArchivos
1,0,219938,maximoParalelo
2,0,20740693,cargarMultiplesArchivos
2,0,215012,maximoParalelo
3,0,12322663,cargarMultiplesArchivos
3,0,233319,maximoParalelo
4,0,9792011,cargarMultiplesArchivos
4,0,134578,maximoParalelo
5,0,17133369,cargarMultiplesArchivos
5,0,129970,maximoParalelo
6,1,-985880191,cargarMultiplesArchivos
6,0,123031,maximoParalelo
7,0,12115676,cargarMultiplesArchivos
7,0,193302,maximoParalelo
8,0,10798473,cargarMultiplesArchivos
8,0,161523,maximoParalelo
10,0,11694831,cargarMultiplesArchivos
10,0,273448,maximoParalelo
15,0,15499303,cargarMultiplesArchivos
15,0,437715,maximoParalelo
20,0,21316952,cargarMultiplesArchivos
20,0,566069,maximoParalelo
26,0,23253763,cargarMultiplesArchivos
26,0,736290,maximoParalelo
