cantThreads,sec,ns,algorithm
1,0,338053941,cargarMultiplesArchivos
1,0,806574,maximoParalelo
2,1,-664947230,cargarMultiplesArchivos
2,0,441310,maximoParalelo
3,0,336395724,cargarMultiplesArchivos
3,0,325507,maximoParalelo
4,0,333349431,cargarMultiplesArchivos
4,0,294406,maximoParalelo
5,0,335160192,cargarMultiplesArchivos
5,0,286205,maximoParalelo
6,0,338819824,cargarMultiplesArchivos
6,0,330370,maximoParalelo
7,1,-663018432,cargarMultiplesArchivos
7,0,289360,maximoParalelo
8,0,335067774,cargarMultiplesArchivos
8,0,301572,maximoParalelo
10,0,340113153,cargarMultiplesArchivos
10,0,301827,maximoParalelo
15,1,-665089774,cargarMultiplesArchivos
15,0,309481,maximoParalelo
20,0,338234738,cargarMultiplesArchivos
20,0,435184,maximoParalelo
26,0,334591129,cargarMultiplesArchivos
26,0,478854,maximoParalelo
